id,artist_name,genre,genre_number
7iRoIMoHaSyQBKMJT9RDrP,zzzaam,Hip-Hop,11
3of4z5k152Et4C0IQ7HUAg,Zitten,Indie Rock,13
6tuPdaFPIytg3l2f51L7Hw,Ziggy Alberts,Indie,12
6lGfLCig2b5mvDTtsPSrb0,ZE:A,Dance Pop,7
5ZOPfXGBx6abXxg8ASoqSg,Zamgolbers,Indie,12
6ujr1NkqbZpYOhquczUUfl,The Strumbellas,Indie,12
4q2IjH8TVz7CNSzIiPDV6B,Son Simba,Hip-Hop,11
19Vc3zeXWnOUUsAYiXgjCX,ZHANG HAO,R&B,17
4hYxfPWn0RnlwJS2faYvjB,Zoorumpug,Indie Rock,13
3a3LDEkR20md8TlZk0zTrL,짱군 Zzanggoon,Hip-Hop,11
1nxCRfWuzM4GSCVfrqtlxz,0WAVE,Indie Rock,13
0QgGDs81tZf0yqUELyxpAk,0CD,Indie Rock,13
2mSxTWd6eT8FMIuizu4Fog,g0nny(거니),Hip-Hop,11
3fkFO5lmipe654caBLBD6n,100%,Dance Pop,7
5L7N8Gswa6XUVHLPJ2M7a0,TEAM 24:00,Dance Pop,7
1M2Yug6EvJTlraF6ewM9Oh,109,Indie,12
0P8IEJrM7oUTK4WwdMKsvS,1TYM,Hip-Hop,11
00R8ml7PSORcOeSOyN2ivQ,1sagain,R&B,17
1AAJLswvl7anW1RhTTFzxN,15&,R&B,17
5Q0U6ogBrMX2oxmxy5OTzU,SISTAR19,Dance Pop,7
1DfcjpwzBsJo2cpPwKrhg0,1분노래,Ballad,1
4sDjXysEc1EfdvvK0yo3uK,열일곱이다,Indie,12
69BU1e5k9bwV11jZxA9gWa,Crayon,Dance Pop,7
1RIh3aczBZD0MaLuhh5dMm,GOT U,Dance Pop,7
2JDfkwLPoHoH1EKw6Og6uH,M1NU,Hip-Hop,11
6ZZafCTzyk1yjqEES63cMm,1THE9,Dance Pop,7
3u9xBa2fe8b9jPf5JYFRH3,1TEAM,Indie,12
4u9YxYzCjpMjnMcwNu9fzy,LOOΠΔ 1/3,Indie,12
4Eyqj9gm4OX7A6IltsD5W7,1%,Hip-Hop,11
29zswoxQXZGo4eJbGV5bBr,1CHU,Dance Pop,7
6dTCGU3ZXmHV6roc3mP7Q5,EUN JIWON,Ballad,1
0IZY8rhx9WD2TrN8hND3ji,18크럭,Hip-Hop,11
2tLQLO1aqUX2c45auUfxGo,NOAH1LUV,R&B,17
2a3wtqb5oDZFegk1xPJu7K,H1GHR MUSIC,Hip-Hop,11
0ePKWgwmESq5970Hq1c3yE,250,EDM,8
3eAafmKFLEYAq6y9ZrWXtS,2danji,Hip-Hop,11
0ow4yj7rgcQbH8fGkHZyLP,2nd Moon,Indie,12
2m4JjhDHG2PfW7WIaZW9ax,2BIC,Ballad,1
01n1Lj2lmdteXD8qFPqhsL,2NB,R&B,17
2AMTVJeuaSJHOatQS448YY,2LSON,Indie,12
0BDMR6H7cA6Px5UhrVROKr,27RING,Indie,12
0whM0PalKF2w1SZlV4gGMR,257,Dance Pop,7
0E1N3MiaUXH2wmZnyLgKFw,2nd Zamgolbers,Indie,12
0TZwYeCBGsOjdJXyFLNuaa,2Yoon,Indie,12
5r6waWb7zJbYnwwdy08EPO,24K+,Dance Pop,7
4pdMtDzWCUoc08AhVOwWNU,Sean2Slow,Hip-Hop,11
1pXX6uuufA0Zrk4Ksuh4nv,Jus2,Dance Pop,7
16ODiemwC9iXaQQ7AQBVnt,from20,R&B,17
46e3baMTsmabXSJD2LjVeo,D2ear,Indie,12
4w6MZBLb4aIZpffyA52Doq,ASC2NT,Indie,12
4LJbolSjae2xrHVYL5WrAl,2EYES,Indie,12
3kPDtzrCxV5Yhw0uKAF6HI,3rd Line Butterfly,Indie Rock,13
65LSFEqRhq074aUBF1zF2e,365LIT,Hip-Hop,11
6rws5h4MmnMAHFDnNwrVXe,316,Indie,12
65SWpUO42tdFbEhdfj1ryf,3YE,Dance Pop,7
0ApgwMAgZB6Q2MAn778wPs,로다운 30(Lowdown 30),Indie Rock,13
7aH1fpTqcBYMDOzDtoC9wt,3piece,Indie,12
7zEgrLJs3lV55OxVOm1nVw,Lowdown 30,Indie Rock,13
2fNvNDwBWdEMvyD5ik1njd,3WAY Project,Indie,12
7ENWxUjyJ2dMkhA6M0JXH3,Room306,Indie,12
0XXy0YzgbA0CW9zDM8yxpD,40,Rock,18
7oFIkpNpLrTBgZW6w55W1J,4MEN,R&B,17
1gHzFOHKBOOz6HAdLX8QeM,4BOUT,Hip-Hop,11
6cg6vjoGLVykkubJKlM3mL,45RPM,Rock,18
29txRD4cY4geQXKUZvmseW,BTOB 4U,Dance Pop,7
0bRGcETPvRzY45wcn4w92w,4월과 5월,Ballad,1
66u2mp8mtMEOUH2TWWr98O,44MAGNUMB,Rock,18
4PilHeDnibFtu1ol9VJaYO,45smoke,Indie Rock,13
5eXE9X8DTpWsL5mbkz7mAn,k4ton,R&B,17
3fXOlqV4AdU7A1VCDrXeoY,SC4F,Hip-Hop,11
3GAp8PrsfvuY7QnAzHWcyW,49 Morphines,Rock,18
6XTJcgSOtX7zGavi7EOazp,4TEN,Dance Pop,7
0hcNEkXJ9p0fVTsuFeNbZd,HD BL4CK,Hip-Hop,11
3AzBJBdAEnoVg4V9hSocKX,J4 Prada,Hip-Hop,11
4zLM2qGVz8TX11ycCgwxk8,정오월,Ballad,1
6MJCgDOw7EfTJJtKPHXAcD,5tion,Indie,12
1CSPhzpCGUKYHQ2ZlPwXwa,5sckar,R&B,17
6w78npIzzOfQav862kCbTr,5월,Ballad,1
0hyILaPy503WJuRm1lqOzo,U-mb5,R&B,17
4Pb9zwF1L0OpGr1RrY4TiN,L5ST,Hip-Hop,11
1R2KUW45CEHkpv8fAgPADp,615,Dance Pop,7
457wOSyKP4znEKFugPRHvn,6분낮잠,Hip-Hop,11
4y0wFJ5jmCUNRLZfsw1I7g,AB6IX,Dance Pop,7
0kS1oLtVdBidgH2aKloRKR,PARK WOO JIN,Ballad,1
5KOTrsUUc0VUVH3mR5StNC,SIXC (6 crazy),Hip-Hop,11
4IcYAYGe957pqbPrFeRlzS,67th미스코리아,Ballad,1
1LVOxgnKHc1CWaiNoMuQ8s,6膠,Hip-Hop,11
3CFWk44Cm1Y8BBF4a02pgs,7080 뮤직 패밀리,Rock,18
2MZjibdzWA4zxAF8Y2fSyf,7 go up,Dance Pop,7
14yLuCwlBqteUdBqx9soJV,SE7EN,R&B,17
5iWZ90UuKiJXdu1xpMAKwb,7080음악여행,Rock,18
17dg2Sw5fXWUSXPmmmxmDb,7anhee,Ballad,1
76P1bgqm0Ign9ZDfSjBSbc,THE7,Dance Pop,7
1ztb4Su5DKTyzFUHOIAKz5,ADG7,Hip-Hop,11
7xuXBG13gHSpdAoXNWQ8Se,HORI7ON,Indie Rock,13
27xea8r2bsY7UlsbaRiwMQ,EL7Z UP,EDM,8
7pSntCMsYGgRySKae4DfYc,75A,Dance Pop,7
1wDstpO8XQNU6GV0S92663,82MAJOR,R&B,17
3ghcDN2cqqULscHWFYrAcU,82flame (대한의 불꽃),Hip-Hop,11
7tCg9aiVKZ5Cmhbfb7UoqM,8TURN,Dance Pop,7
4bGcpMioOtQd189BpKwzd0,8호실 peridot,Indie,12
5LkLwB6VSZLQiFkJa9SPOn,LUN8,Indie,12
1Ow4GXmX1L4sdENO3fHO3s,윤규 (8TURN),Dance Pop,7
39o4jSOETpVL5NFUGqW9d0,팔드로 8Dro,Hip-Hop,11
3GtxaQXCwJZaoV9lmKofs0,9 and the Numbers,Indie Rock,13
0Zoe6ljAJo85rggnN6OaOF,92914,Hip-Hop,11
0th6fLI9VttKJ9gIjoNPAM,Slim 9lock,Hip-Hop,11
