id,title,genre,genre_number,Production Country,Release Year,Director,Plot
8169,잔혹한 출근,코메디,13,대한민국,2006,김태윤,"주식,사채빚,사채,유괴,유괴단,유괴사건,여고생,고등학생,고교생"
9428,허밍,드라마,2,대한민국,2007,박대영,"교통사고,권태,남극,연인,의식불명,자전거,인연,오랜연인,오래된연인,기념일,권태기,커플,혼수상태,사고,소중함"
826,약혼녀,코메디,13,대한민국,1963,김수용,"황혼기,황혼커플,서민생활,3인방,삼인조,과부,홀아비,흑백시네마스코프"
2827,묘녀,멜로,3,대한민국,1974,홍파,"고양이,소설원작,한국소설원작,잡지연재소설원작,집착,미신,부두인형,기자,미스테리,컬러시네마스코프"
2869,원한의 여권,액션,10,대한민국,1975,이혁수,"마약밀매단,아버지의복수,복수,태권도,폭력/깡패,컬러시네마스코프"
1586,망각,멜로,3,대한민국,1967,이만희,"통속,기억상실증,애인의 죽음,정신과의사,정신병원,일기장,흑백시네마스코프"
2862,흑백대권,액션,10,대한민국,1974,최영철,"무술,아버지의죽음,아버지의복수,부모의원수,홍콩,이복형제,위장잠입,신분위장,첩보원,첩보요원,컬러시네마스코프"
33595,내일까지 5분전,멜로,3,"중국,일본",2014,유키사다 이사오,"상하이,죽음,쌍둥이,중일 합작,합작영화"
3435,나를 보러 와요,드라마,2,대한민국,1980,이유섭,"구애,술집여인,윤락가,하숙집,노총각,짝사랑,폭로,협박,질투"
37846,포즈,미스터리,6,대한민국,2024,이연주,
3480,노명검,액션,10,"대한민국,홍콩",1980,"김선경,계치홍","내장금,누명,살해위협,일망타진,양아버지,탈취,조선,밀서,대결전,합작영화,한홍합작영화,한국홍콩합작영화"
